id_restaurant,id_type
0,0
1,1
2,2
3,0
4,1
5,1
6,2
7,1
8,1
9,1
10,1
11,1
12,0
13,3
14,1
15,0
16,1
17,2
18,0
19,1
20,0
21,1
22,3
23,1
24,1
25,0
26,2
27,4
28,0
29,2
30,3
31,0
32,4
33,1
34,1
35,2
36,1
37,1
38,3
39,1
40,0
41,3
42,0
43,1
44,0
45,1
46,1
47,2
48,1
49,1
50,1
51,1
52,2
53,1
54,0
55,2
56,1
57,1
58,2
59,1
60,1
61,0
62,1
63,2
64,2
65,3
66,0
67,1
68,1
69,0
70,1
71,0
72,0
73,0
74,2
75,2
76,1
77,0
78,1
79,1
80,0
81,2
82,0
83,2
84,0
85,2
86,0
87,1
88,5
89,1
90,5
91,0
92,1
93,0
94,1
95,2
96,0
97,0
98,1
99,3
100,1
101,0
102,1
103,0
104,1
105,5
106,1
107,2
108,0
109,2
110,1
111,2
112,1
113,1
114,0
115,2
116,3
117,0
118,1
119,0
120,1
121,5
122,1
123,0
124,1
125,2
126,3
127,0
128,1
129,0
130,2
131,0
132,2
133,5
134,0
135,1
136,2
137,2
138,2
139,1
140,1
141,0
142,1
143,2
144,0
145,0
146,0
147,0
148,1
149,1
150,5
151,1
152,0
153,2
154,0
155,2
156,2
157,0
158,1
159,1
160,0
161,1
162,1
163,0
164,2
165,1
166,0
167,1
168,1
169,2
170,2
171,2
172,0
173,1
174,1
175,2
176,1
177,1
178,2
179,1
180,0
181,0
182,2
183,2
184,0
185,1
186,1
187,0
188,2
189,1
190,1
191,1
192,0
193,0
194,0
195,1
196,0
197,1
198,1
199,2
200,5
201,0
202,0
203,1
204,1
205,2
206,1
207,2
208,1
209,0
210,1
211,0
212,3
213,4
214,1
215,2
216,0
217,1
218,0
219,0
220,0
221,1
222,5
223,5
224,5
225,0
226,1
227,1
228,1
229,1
230,1
231,2
232,1
233,0
234,5
235,0
236,5
237,2
238,1
239,0
240,1
241,0
242,5
243,1
244,3
245,0
246,0
247,2
248,1
249,1
250,0
251,1
252,0
253,1
254,0
255,1
256,0
257,1
258,2
259,1
260,1
261,1
262,1
263,5
264,0
265,2
266,0
267,2
268,5
269,0
270,2
271,0
272,1
273,5
274,1
275,0
276,1
277,2
278,0
279,5
280,1
281,1
282,3
283,5
284,5
285,1
286,0
287,1
288,1
289,1
290,1
291,0
292,1
293,1
294,3
295,0
296,1
297,1
298,1
299,1
300,1
301,0
302,1
303,3
304,1
305,1
306,0
307,3
308,0
309,0
310,0
311,0
312,1
313,1
314,0
315,2
316,2
317,0
318,1
319,0
320,1
321,1
322,2
323,3
324,1
325,2
326,3
327,0
328,2
329,1
330,1
331,1
332,0
333,1
334,2
335,5
336,1
337,2
338,1
339,0
340,1
341,2
342,1
343,2
344,2
345,2
346,4
347,2
348,5
349,0
350,1
351,0
352,3
353,1
354,0
355,1
356,1
357,1
358,0
359,1
360,0
361,0
362,0
363,0
364,2
365,2
366,1
367,1
368,1
369,1
370,1
371,3
372,2
373,1
374,1
375,2
376,1
377,1
378,0
379,2
380,0
381,1
